country,adult_literacy_rate,gross_national_income_per_capita_ppp_international,population_in_thousands_total,population_median_age_years,per_capita_total_expenditure_on_health_ppp_int,per_capita_government_expenditure_on_health_ppp_int,healthy_life_expectancy_hale_at_birth_years_both_sexes,life_expectancy_at_birth_years_both_sexes,population_with_sustainable_access_to_improved_sanitation_total,aid_received_total,income_per_person,population_proportion_over_60,population_proportion_under_15,contraceptive_prevalence,total_expenditure_on_health_as_percentage_of_gross_domestic_product,children_per_woman,infant_mortality_rate,patents_granted
Bosnia and Herzegovina,96.7,6780,3926,38,794,454,64,75,95,5.53,6506,19,17,47.5,8.3,1.23,13,1
Botswana,81.2,11730,1858,21,635,487,36,52,47,476e5,12057,5,35,44.4,7.2,2.9,87,33
Brazil,88.6,8700,189323,27,765,367,60,72,77,1.96,8596,9,28,0,7.5,2.25,20,4740
Brunei Darussalam,92.7,49900,382,26,394,314,65,77,0,77e4,47465,5,29,0,1.8,2.29,8,251
Bulgaria,98.2,10270,7693,41,741,443,65,73,99,6.2,9353,23,14,0,6.9,1.31,12,376
Burkina Faso,23.6,1130,14359,17,87,50,36,47,13,6.81,1140,4,46,13.8,6.4,6,121,0
Burundi,59.3,320,8173,17,15,4,35,49,41,3.65,420.08,4,45,19.7,3,6.8,109,5
Cambodia,73.6,1550,14197,20,167,43,48,62,28,5.41,1453,5,37,40,6,3.18,67,0
Andorra,0,0,74,0,2910,2054,72,82,100,0,0,22,14,0,6.3,0,0,0
Cameroon,67.9,2060,18175,19,80,23,41,51,51,4.17,1995,5,41,26,5.2,4.31,87,0
